ID;NOME
1;ARTE
2;BIOLOGIA
3;EDUCAÇÃO FÍSICA
4;ESPANHOL
5;FILOSOFIA
6;FÍSICA
7;GEOGRAFIA
8;HISTÓRIA
9;INGLÊS
10;LITERATURA
11;MATEMÁTICA
12;PORTUGUÊS
13;QUÍMICA
14;REDAÇÃO
15;SOCIOLOGIA
16;CIÊNCIAS
17;INT. À METODOLOGIA
18;MÚSICA
19;OFICINA DE TEXTO
